ssid,doi,title,authors,year,venue
"346d184039dbe37f19516a45bf60eb60088b246f","10.1176/AJP.138.11.1441","Psychomotor function in affective disorders: an overview of new monitoring techniques.","J. Greden, B. Carroll","1981","The American journal of psychiatry",
"6ec6aa41f75847d629aacef4f0453d5ac23fea85","10.1016/S0003-3472(83)80053-0","A new look at the features of mallard courtship displays","J. Finley, D. Ireton, W. Schleidt, T. A. Thompson","1983","Animal Behaviour",
"47cd6f405910229abc22d10a5d40cb6518c0c0e3","10.1016/S0149-7634(99)00024-X","Ethological research in clinical psychiatry: the study of nonverbal behavior during interviews","A. Troisi","1999","Neuroscience & Biobehavioral Reviews",
"b67c8a0ac3737c69eef925bb6bf5206e625760e6","10.1016/S0962-1849(05)80049-6","Nonverbal behavior in clinician—patient interaction","Judith A. Hall, J. Harrigan, R. Rosenthal","1995","",
"aa568f3ef335c7c5da7b8a0cef990c8a3dc64da9","10.1177/070674370004500403","Staff Feelings and Patient Diagnosis","R. Holmqvist","2000","Canadian journal of psychiatry. Revue canadienne de psychiatrie",
"b167ba9ab1142ae9a7239a0f9e0a3613a6af5a4e","10.1017/S0140525X00045167","Supplementary motor area structure and function: Review and hypotheses","G. Goldberg","1985","Behavioral and Brain Sciences",
"42fa5f852fe53ffc6eb0f77beaaa6d59bff8db71","10.1016/0166-4328(87)90242-7","Natural syntax rules control action sequence of rats","K. Berridge, J. C. Fentress, Heather Parr","1987","Behavioural Brain Research",
"4ca6b155136034cf74c59b7865b3e2767fcc0db0","10.1007/978-3-642-73769-5","Primate Vocal Communication","D. Todt, P. Goedeking, D. Symmes","1988","Springer Berlin Heidelberg",
"9dcd5cf3f1cfc110192838cab7f29feef3b3b004","10.1016/j.pnpbp.2010.10.019","Psychomotor retardation in depression: Biological underpinnings, measurement, and treatment","J. Buyukdura, S. McClintock, P. Croarkin","2011","Progress in Neuro-Psychopharmacology and Biological Psychiatry",
"fdec1358e9481807fa13792d499bc3abe3a6d86a","10.1037//0021-843X.92.3.307","Analyzing nonverbal behavior in depression.","H. Fisch, S. Frey, H. Hirsbrunner","1983","Journal of abnormal psychology",
