ssid,doi,title,authors,year,venue
"7823515d5f69b59b0125db69e7bb22c49d091c29","10.1016/S0005-7967(01)00072-9","A theoretical framework for understanding self-report and observational measures of pain: a communications model.","T. Hadjistavropoulos, K. Craig","2002","Behaviour research and therapy",
"09439a1ccb55a84ff6048822a0e117ff6b8dce38","10.1017/S0140525X02000080","Facial expression of pain: An evolutionary account","Amanda C.C. Williams","2002","Behavioral and Brain Sciences",
"ec223f758894b5c5ef1806f7f64d1652364d13ea","10.1037/0012-1649.23.1.105","Infants' emotion expressions to acute pain: Developmental change and stability of individual differences.","C. Izard, E. Hembree, Robin R. Huebner","1987","",
"44dec6987f92ace27ee1cb97869d2518ef9a1ac6","10.1037/0012-1649.19.3.418","Changes in facial expressions of 2- to 19-month-old infants following acute pain.","C. Izard, E. Hembree, L. Dougherty, C. C. Spizzirri","1983","",
"6546082fab64ad9f01b4888a6c3ebed8f7ea8373","10.1007/BF02173080","Expressing pain: The communication and interpretation of facial pain signals","K. Prkachin, K. Craig","1995","",
"9fca70b5a171b68558d337a5cf96e5b8257fb091","10.1037/a0023876","A biopsychosocial formulation of pain communication.","T. Hadjistavropoulos, K. Craig, S. Duck, A. Caño, L. Goubert, P. Jackson, J. Mogil, P. Rainville, M. Sullivan, Amanda C.C. Williams, T. Vervoort, T. Fitzgerald","2011","Psychological bulletin",
"6c078d918499459c6da963c6072ff09f09967fa0","10.1016/0304-3959(91)90071-5","Genuine, suppressed and faked facial behavior during exacerbation of chronic low back pain","K. Craig, S. Hyde, C. Patrick","1991","Pain",
"20c01e96a0e29a2f409a072197531883f56f41d1","None","The facial expression of pain.","K. Craig, K. Prkachin, R. Grunau","2001","",
"7b195487ce23b6c3a8dca502512957e9576055af","10.1037/A0014772","The social communication model of pain.","K. Craig","2009","",
"636c3974ce424bc785bafbc19f9624fadebdcbba","10.1016/1058-9139(92)90001-S","The facial expression of pain Better than a thousand words","K. Craig","1992","",
