ssid,doi,title,authors,year,venue
"1e0a8db96055abb5814951556e12bd7bc625596d","10.1016/j.specom.2007.01.011","Spoken language processing: Piecing together the puzzle","Roger K. Moore","2007","Speech Commun.",
"2907393ec8bb41c405084caf0918ec54d3212d8e","10.1007/978-3-540-75398-8_3","Emotion Recognition from Speech Using Multi-Classifier Systems and RBF-Ensembles","Stefan Scherer, F. Schwenker, G. Palm","2008","Speech, Audio, Image and Biomedical Signal Processing using Neural Networks",
"f1ab7dd8de52e55443d1f0d797bd3092220181b5","None","On emotion, learning and uncertainty : a cognitive modelling approach","R. Belavkin","2003","",
"5504a5f3784ce09d82acaebdf218a6c7879b3f6b","10.1109/TC.2007.1080","PRESENCE: A Human-Inspired Architecture for Speech-Based Human-Machine Interaction","Roger K. Moore","2007","IEEE Transactions on Computers",
"b37afc2746781c6e05d533c958119661c0b876c3","10.1080/0952813X.2010.503342","Human-like learning in a conscious agent","U. Faghihi, P. Poirier, Philippe Fournier-Viger, R. Nkambou","2011","J. Exp. Theor. Artif. Intell.",
"f822d837dc80fb7f52a63778aec226ada1c5d6d0","10.1109/IA.2009.4927496","How emotional mechanism helps episodic learning in a cognitive agent","U. Faghihi, Philippe Fournier-Viger, R. Nkambou, P. Poirier, A. Mayers","2009","2009 IEEE Symposium on Intelligent Agents",
"c17f0c2aa11ee05e2ce51374be347c48b759ffeb","None","The Use of Entropy for Analysis and Control of Cognitive Models","F. Ritter","2003","",
"66000e97e22b2c06b426013acd1cac0f2b3bb071","None","On relation between emotion and entropy","R. Belavkin","2004","",
"3510700e29b5e06bca8d7455cf07a8e40312a522","10.1037/a0017196","The influence of categories on perception: explaining the perceptual magnet effect as optimal statistical inference.","Naomi H. Feldman, T. Griffiths, J. Morgan","2009","Psychological review",
"f7c08d0bfef9fdf9d670f4b6d8c6ebf986c5894d","10.1016/J.LANGSCI.2003.08.005","Simulating others: the basis of human cognition?","S. Cowley","2004","",
