ssid,doi,title,authors,year,venue
"9bed531e834f6ec327a1010aed3fdbef7ab17dc8","10.1111/j.1545-5300.2009.01296.x","Human-animal bonds I: the relational significance of companion animals.","F. Walsh","2009","Family process",
"28f46c5abeb492334ea3c9233d28b63dad2f0797","10.1207/S15327558IJBM1202_3","The psychobiology of emotion: the role of the oxytocinergic system","K. Uvnäs-Moberg, I. Arn, D. Magnusson","2005","International journal of behavioral medicine",
"1ba035d468596416fec378a0c2f3091aa30477b5","10.1111/j.1545-5300.2009.01297.x","Human-animal bonds II: the role of pets in family systems and family therapy.","F. Walsh","2009","Family process",
"b435f855f896016aef90c960ef1ef1316e5053b8","10.1016/j.janxdis.2016.10.007","Psychological perspectives on fear of childbirth.","Elisabet Rondung, Johanna Thomtén, Ö. Sundin","2016","Journal of anxiety disorders",
"4a0b26e59eb85ed0f7c7a2acd4ca7ceef480d748","10.3389/fpsyg.2012.00234","Psychosocial and Psychophysiological Effects of Human-Animal Interactions: The Possible Role of Oxytocin","A. Beetz, K. Uvnäs-Moberg, H. Julius, K. Kotrschal","2012","Front. Psychology",
"098f9df2e5eb3502d9c0596762913d81e2d51b29","10.3389/fpsyg.2014.01529","Self-soothing behaviors with particular reference to oxytocin release induced by non-noxious sensory stimulation","K. Uvnäs‐Moberg, Linda Handlin, M. Petersson","2015","Front. Psychol.",
"a0e2710cfdbda5b2069ae1de22264470b04cdb92","10.1111/aogs.13138","Worldwide prevalence of tocophobia in pregnant women: systematic review and meta‐analysis","M. O'Connell, P. Leahy-Warren, A. Khashan, L. Kenny, S. O'Neill","2017","Acta obstetricia et gynecologica Scandinavica",
"8f65579318204c7367cc17645fb68b6236403bc6","10.2752/175303712X13316289505468","Associations between the Psychological Characteristics of the Human–Dog Relationship and Oxytocin and Cortisol Levels","Linda Handlin, Anne Nilsson, M. Ejdebäck, E. Hydbring-Sandberg, K. Uvnäs‐Moberg","2012","",
"93c02fc250cc93b2bb47e1366ad21e35f4741e20","10.1016/J.JBUSRES.2007.07.024","A Tail of Two Personalities: How Canine Companions Shape Relationships and Well-Being","L. A. Cavanaugh, Hillary Leonard, D. Scammon","2008","",
"eb87f350667969f8053d037da409746eaca7d91e","10.1002/14651858.CD003519.PUB4","Early skin-to-skin contact for mothers and their healthy newborn infants.","E. Moore, G. Anderson, N. Bergman","2016","The Cochrane database of systematic reviews",
