ssid,doi,title,authors,year,venue
"05e0f92d03b7c15d888a2160b20c69f0964da725","10.1037/0033-295X.114.4.864","On seeing human: a three-factor theory of anthropomorphism.","N. Epley, A. Waytz, J. Cacioppo","2007","Psychological review",
"f8195aaa4acf1201e176f40143e9b5844d8e9270","10.1521/SOCO.2008.26.2.143","WHEN WE NEED A HUMAN: MOTIVATIONAL DETERMINANTS OF ANTHROPOMORPHISM","N. Epley, A. Waytz, Scott Akalis, J. Cacioppo","2008","",
"778f6c509c7b9d56a3495a3067281733d2cd5814","10.1207/s15327957pspr1003_4","Dehumanization: An Integrative Review","N. Haslam","2006","Personality and social psychology review : an official journal of the Society for Personality and Social Psychology, Inc",
"b80a0a6d413a3a853cd647d5dc32723dfd629b60","10.1177/1745691610369336","Who Sees Human?","A. Waytz, J. Cacioppo, N. Epley","2010","Perspectives on psychological science : a journal of the Association for Psychological Science",
"6e6f06aa28bea85d793d1d2fa285be565c7cf4bc","10.1111/j.1467-9280.2008.02056.x","Creating Social Connection Through Inferential Reproduction","N. Epley, Scott Akalis, A. Waytz, J. Cacioppo","2008","Psychological science",
"0d1a655f31c0f66bdb533b7f0b1dbaf1ff95f532","10.1037/a0020240","Making sense by making sentient: effectance motivation increases anthropomorphism.","A. Waytz, Carey K. Morewedge, N. Epley, G. Monteleone, Jianfeng Gao, J. Cacioppo","2010","Journal of personality and social psychology",
"c37e48533ca0805d1cc1d6141e637945efec844d","10.1016/j.tics.2010.05.006","Causes and consequences of mind perception","A. Waytz, Kurt Gray, N. Epley, D. Wegner","2010","Trends in Cognitive Sciences",
"680999688fe0ad59923228a3163a25d2a6176987","10.1086/658148","Gaming with Mr. Slot or Gaming the Slot Machine? Power, Anthropomorphism, and Risk Perception","Sara Kim, A. L. McGill","2011","",
"ffab595413980b7e37654a4c3767615a12dab020","10.1207/S15327957PSPR0402_06","The Emotional Side of Prejudice: The Attribution of Secondary Emotions to Ingroups and Outgroups","J. Leyens, Paola Paladino, R. Rodríguez-Torres, J. Vaes, Stéphanie Demoulin, Armando Rodríguez-Pérez, R. Gaunt","2000","",
"2d0cd64357a60205dea69d56b498e341a31a6650","10.1086/662614","When Brands Seem Human, Do Humans Act Like Brands? Automatic Behavioral Priming Effects of Brand Anthropomorphism","P. Aggarwal, A. L. McGill","2012","",
