ssid,doi,title,authors,year,venue
"c3e26b9bfec3a313f48f1815e991934ebe53fab0","10.1038/nrn3071","Gut feelings: the emerging biology of gut–brain communication","E. Mayer","2011","Nature Reviews Neuroscience",
"ea0f1a59e884f878fffeba1537ff6cb9390696d1","10.1016/S0006-3223(99)00308-X","Vagus nerve stimulation: a new tool for brain research and therapy∗","M. George, H. Sackeim, A. Rush, L. Marangell, Z. Nahas, M. Husain, S. Lisanby, T. Burt, Juliet Goldman, J. Ballenger","2000","Biological Psychiatry",
"39246ca0d1e74185820b508333ba6f1be21a01d3","10.1038/nrn3346","Mind-altering microorganisms: the impact of the gut microbiota on brain and behaviour","J. Cryan, T. Dinan","2012","Nature Reviews Neuroscience",
"931629410d201214c4637838b6c08e54a57bc2aa","10.1016/S0006-3223(99)00304-2","Vagus nerve stimulation (VNS) for treatment-resistant depressions: a multicenter study∗
 
 ∗
 See accompanying Editorial, in this issue.
 
","A. Rush, M. George, H. Sackeim, L. Marangell, M. Husain, C. Giller, Z. Nahas, Stephen Haines, R. Simpson, R. Goodman","2000","Biological Psychiatry",
"3d5abab291fdc8449b25d82de7556be2c1d8b088","10.1038/mp.2012.77","The microbiome-gut-brain axis during early life regulates the hippocampal serotonergic system in a sex-dependent manner","G. Clarke, S. Grenham, P. Scully, P. Fitzgerald, R. Moloney, F. Shanahan, T. Dinan, J. Cryan","2013","Molecular Psychiatry",
"80f2179463ff770b4ac5c6e6a194ec48a745736e","10.1038/nrmicro2876","The interplay between the intestinal microbiota and the brain","S. Collins, M. Surette, P. Bercik","2012","Nature Reviews Microbiology",
"1bfadf0848afe65a3f8f2fcbe804c7dda1de3d8b","10.1053/j.gastro.2013.02.043","Consumption of fermented milk product with probiotic modulates brain activity.","K. Tillisch, J. Labus, L. Kilpatrick, Zhiguo Jiang, J. Stains, B. Ebrat, D. Guyonnet, S. Legrain-Raspaud, Beatrice Trotin, B. Naliboff, E. Mayer","2013","Gastroenterology",
"592fc751b3c4633f556c821071cb0033a0abf191","10.1016/j.brs.2008.02.001","A pilot study of vagus nerve stimulation (VNS) for treatment-resistant anxiety disorders","M. George, H. Ward, P. Ninan, M. Pollack, Z. Nahas, B. Anderson, S. Kose, R. Howland, W. Goodman, J. Ballenger","2008","Brain Stimulation",
"f79b60da2d6d570390b095588f9970adf99e0c37","10.1016/S0893-133X(01)00271-8","Vagus Nerve Stimulation (VNS™) for Treatment-Resistant Depression: Efficacy, Side Effects, and Predictors of Outcome","H. Sackeim, A. Rush, M. George, L. Marangell, M. Husain, Z. Nahas, Christopher R. Johnson, S. Seidman, C. Giller, S. Haines, R. Simpson, R. Goodman","2001","Neuropsychopharmacology",
"c056784a5d5715771ebcd31d6ad614906e1a278c","10.3389/fphys.2011.00094","Brain–Gut–Microbe Communication in Health and Disease","S. Grenham, G. Clarke, J. Cryan, T. Dinan","2011","Front. Physio.",
