ssid,doi,title,authors,year,venue
"ee0e5bb8df614d4799c0d0f697cf1e8ca75a860d","10.1037/11383-000","Handbook of Multimethod Measurement in Psychology","M. Eid, E. Diener","2005","",
"175cdc7cfabbbc95edb39161c70e34d6487563db","10.1146/ANNUREV.PSYCH.55.090902.141601","Human research and data collection via the internet.","M. Birnbaum","2004","Annual review of psychology",
"821efaf9fec3fc8d40898437fa6b5b0e937a3e28","10.1037/a0013219","Structural equation modeling of multitrait-multimethod data: different models for different types of methods.","M. Eid, Fridtjof W. Nussbeck, C. Geiser, D. Cole, M. Gollwitzer, T. Lischetzke","2008","Psychological methods",
"e005fac67df43e00a3a640dbb30f414fe32129d4","10.1080/0300443880390117","Play and theories of play: A review of the literature","M. Takhvar","1988","",
"33666bac3ec508ef850e90601d96180647077ba2","10.1146/ANNUREV.PSYCH.57.102904.190048","The internet as psychological laboratory.","L. Skitka, Edward G. Sargis","2006","Annual review of psychology",
"4c4c8160b4920ab398accefd6edeba6d369121d1","10.1016/J.CEDPSYCH.2006.10.008","Applications of latent-variable models in educational psychology: The need for methodological-substantive synergies.","H. Marsh, K. Hau","2007","",
"2e60b54f1777de12efd2ced8073f5be77e908ac3","10.1037/1082-989X.12.4.381","The insidious effects of failing to include design-driven correlated residuals in latent-variable covariance structure analysis.","D. Cole, J. Ciesla, J. H. Steiger","2007","Psychological methods",
"d911fe56e0399ec18fe653a9eeae4bcbddef2bf4","10.1037/a0012812","Analyzing the convergent and discriminant validity of states and traits: development and applications of multimethod latent state-trait models.","D. Courvoisier, Fridtjof W. Nussbeck, M. Eid, C. Geiser, D. Cole","2008","Psychological assessment",
"c2026b77160ccf59f26dc9946d79b718c336bd77","10.3102/0013189X15584327","Measurement Matters","Angela L. Duckworth, D. Yeager","2015","Educational researcher",
"1a546745169e0b2d6ac0f972269a0b5e52973253","10.1007/S10862-013-9354-5","The State-Trait Anxiety Inventory: Shadows and Lights on its Construct Validity","Michela Balsamo, Roberta Romanelli, M. Innamorati, Gabriele Ciccarese, L. Carlucci, A. Saggino","2013","",
