ssid,doi,title,authors,year,venue
"f1dfdb1dac5885ba7e018083ec9646d74c192b09","10.1177/0023830909103175","Visual Intonation in the Prosody of a Sign Language","Svetlana Dachkovsky, W. Sandler","2009","Language and speech",
"289b01a7b081f0133580e03c580f372d6ea9a72e","10.1016/0378-2166(92)90050-L","The semantics of interjection","A. Wierzbicka","1992","",
"88d04b221407e4b5c4cc14d49c039b9061551385","10.1016/0378-2166(92)90048-G","Interjections: The universal yet neglected part of speech","F. Ameka","1992","",
"6de4e64df21c08d5f8badf034883ec408e9d5f61","10.1016/0378-2166(92)90049-H","Interjections as deictics","David P. Wilkins","1992","",
"b357b7aba80dff034400f16f549d13fa2ce2103c","10.1353/sls.1992.0035","Affective Prosody in American Sign Language","J. Reilly, Marina L. McIntire, Howie Seago","2013","",
"9c3196f17742a3915bbc3598d2a6d6929341c2fc","10.1075/PC.11.1.04WHA","Interjections, language, and the 'showing/saying' continuum","T. Wharton","2003","",
"0b19a1089f9e9b83dedc8202671cfec31e6d7eea","10.1016/J.PRAGMA.2013.05.014","The role of emotions in relational work","A. Langlotz, Miriam A. Locher","2013","",
"5d6f01a0d93c1a5a712580af6547a5b6ae39c3a2","10.1093/acprof:oso/9780199665327.003.0008","Language presupposes an enchronic infrastructure for social interaction","N. Enfield, J. Sidnell","2014","",
"84789e7959272185411c7a06d5b0822e1edbe66f","10.1177/00238309990420020801","Neuropsychological Studies of Linguistic and Affective Facial Expressions in Deaf Signers","D. Corina, U. Bellugi, J. Reilly","1999","Language and speech",
"00f49b891a0055379d5bd6584737b86c61cca2da","10.1111/J.1467-968X.2010.01242.X","Prosody and Syntax in Sign Languages.","W. Sandler","2010","Transactions of the Philological Society. Philological Society",
