ssid,doi,title,authors,year,venue
"913c210a76ebd42f32f1587ffedf58a4d4e589b7","10.1017/S0140525X02000018","Empathy: Its ultimate and proximate bases.","S. Preston, F. D. de Waal","2001","The Behavioral and brain sciences",
"d25fee01197f1210c94658b39652fa55f2321e65","10.1126/SCIENCE.1093535","Empathy for Pain Involves the Affective but not Sensory Components of Pain","T. Singer, B. Seymour, J. O'Doherty, H. Kaube, R. Dolan, C. Frith","2004","Science",
"3667b3bd2a46b75c6db29f960f4196fd0d2a4a8e","10.1016/0166-4328(90)90144-4","Individuals with sociopathic behavior caused by frontal damage fail to respond autonomically to social stimuli","A. Damasio, D. Tranel, H. Damasio","1990","Behavioural Brain Research",
"8e218630f62acb0178a250aa16aa3b33593d9e72","10.1177/1534582304267187","The functional architecture of human empathy.","J. Decety, P. Jackson","2004","Behavioral and cognitive neuroscience reviews",
"784c2397d1e727bf54110bee0bf84d92bb04197f","10.1073/pnas.0935845100","Neural mechanisms of empathy in humans: A relay from neural systems for imitation to limbic areas","L. Carr, M. Iacoboni, M. Dubeau, J. Mazziotta, G. Lenzi","2003","Proceedings of the National Academy of Sciences of the United States of America",
"0c3cabb7d492ec933db49e2c06d12178fb1cae59","10.1017/S0140525X00028636","How we know our minds: The illusion of first-person knowledge of intentionality","A. Gopnik","1993","Behavioral and Brain Sciences",
"88a67e10fe4de400e3dcd08867ddece8c9e90215","10.1016/S1364-6613(98)01262-5","Mirror neurons and the simulation theory of mind-reading","V. Gallese, A. Goldman","1998","Trends in Cognitive Sciences",
"888db2efaac25179028f6abb01c15ddbde86e1d5","10.1111/j.1749-6632.2009.04418.x","The Social Neuroscience of Empathy","T. Singer, C. Lamm","2009","Annals of the New York Academy of Sciences",
"f6566e724e76400c678ab2810ee1110ca973f131","10.1016/j.tics.2006.08.008","The empathic brain: how, when and why?","F. Vignemont, T. Singer","2006","Trends in Cognitive Sciences",
"3f690deb55418261af88eaff0d1c83258db6dc62","10.1016/j.neuroimage.2010.10.014","Meta-analytic evidence for common and distinct neural networks associated with directly experienced pain and empathy for pain","C. Lamm, J. Decety, T. Singer","2011","NeuroImage",
