ssid,doi,title,authors,year,venue
"52759946ae3e16c13289e23d551805725cb605dd","10.1093/bjps/44.3.409","Functional Analysis and Proper Functions","P. Griffiths","1993","The British Journal for the Philosophy of Science",
"29f587cd087b272be7fb34309b21a47d1fc503ed","10.1080/00048409112344881","The teleological notion of ‘function’","Karen Neander","1991","",
"7565c5343ea9d709603ec2d582e88d7d41240a00","10.1080/00455091.1996.10717464","A Taxonomy of Functions","D. Walsh, A. Ariew","1996","Canadian Journal of Philosophy",
"91c5978a990b56f4c72a02213c1aec69d6ec252e","10.1086/289889","Biological Function, Adaptation, and Natural Design","C. Allen, M. Bekoff","1995","Philosophy of Science",
"afb3d9e6df4134ee306150571f81b43e88e83f85","10.1023/A:1006559512367","Etiological Theories of Function: A Geographical Survey","David J. Buller","1998","",
"2adfec2e0b5fce97ca46e505c485c0b0ca72c14a","10.1093/bjps/47.4.553","Fitness and Function","D. Walsh","1996","The British Journal for the Philosophy of Science",
"8f333babdef77dab6c46a6d8045068bf2a578c98","10.1093/bjps/axp036","An Organizational Account of Biological Functions","M. Mossio, Cristian Saborido, A. Moreno","2009","The British Journal for the Philosophy of Science",
"309bed346d23a238917990b9d59b6cba249c8267","10.1007/S10441-005-5353-6","The Function Debate in Philosophy","A. Wouters","2005","Acta biotheoretica",
"9e8e5bdc9a46a0ff537baa73837684ce186a13ed","10.1353/PPP.1996.0008","Lumps and Bumps:Kantian Faculty Psychology, Phrenology, and Twentieth-Century Psychiatric Classification","J. Radden","1996","",
"b61bf73e8b2cb7ee67c303b4bba121c7d5161196","10.1016/J.SHPSC.2003.09.006","Four notions of biological function","A. Wouters","2003","",
